iteration,timestamp,elapsed_ms,cpu_usage_percent,cpu_power_watts,gpu_power_watts,process_gpu_power_watts
1,2026-02-07 15:50:06.867,2941,110.67,81.263834,55.251000,1.657530
2,2026-02-07 15:50:08.271,4345,103.40,39.211656,73.930000,5.914400
3,2026-02-07 15:50:09.677,5751,102.44,38.633073,83.081000,10.800530
4,2026-02-07 15:50:11.096,7170,101.93,34.482714,84.891000,11.035830
5,2026-02-07 15:50:12.498,8572,102.61,33.387754,87.488000,15.747840
6,2026-02-07 15:50:13.903,9977,102.07,33.274799,77.968000,15.593600
7,2026-02-07 15:50:15.269,11343,102.41,26.497775,59.829000,13.760670
8,2026-02-07 15:50:16.610,12684,87.12,25.469493,65.442000,15.706080
9,2026-02-07 15:50:17.973,14047,87.31,26.546113,75.253000,18.813250
10,2026-02-07 15:50:19.333,15407,86.46,27.266717,93.324000,22.397760
11,2026-02-07 15:50:20.696,16770,86.77,29.759738,61.392000,16.575840
12,2026-02-07 15:50:22.052,18126,86.19,26.851074,71.268000,18.529680
13,2026-02-07 15:50:23.412,19486,101.15,26.755894,63.558000,17.796240
14,2026-02-07 15:50:24.772,20846,86.67,32.723878,79.236000,22.186080
15,2026-02-07 15:50:26.122,22196,86.25,27.862084,91.701000,26.593290
16,2026-02-07 15:50:27.466,23540,86.68,26.799472,72.457000,21.737100
17,2026-02-07 15:50:28.808,24882,87.97,26.935206,66.901000,20.070300
18,2026-02-07 15:50:30.176,26250,87.97,28.856495,73.152000,21.945600
19,2026-02-07 15:50:31.527,27602,101.09,27.872536,81.427000,26.056640
20,2026-02-07 15:50:32.888,28962,87.22,28.845814,64.894000,20.766080
21,2026-02-07 15:50:34.251,30325,87.57,28.149560,77.431000,26.326540
22,2026-02-07 15:50:35.612,31686,87.10,27.999803,82.407000,28.018380
23,2026-02-07 15:50:36.992,33066,86.98,34.884502,75.579000,26.452650
24,2026-02-07 15:50:38.382,34456,101.07,33.435253,80.951000,28.332850
25,2026-02-07 15:50:39.724,35798,98.44,35.494991,98.611000,34.513850
26,2026-02-07 15:50:41.085,37160,86.41,28.884858,62.171000,22.381560
27,2026-02-07 15:50:42.440,38514,86.61,29.745852,77.030000,26.960500
28,2026-02-07 15:50:43.807,39881,87.03,29.573376,73.136000,26.328960
29,2026-02-07 15:50:45.156,41230,87.07,30.653032,87.183000,32.257710
30,2026-02-07 15:50:46.525,42599,87.10,31.107095,85.774000,31.736380
31,2026-02-07 15:50:47.874,43948,101.02,30.366609,64.722000,24.594360
32,2026-02-07 15:50:49.225,45299,87.10,26.941081,82.217000,32.064630
33,2026-02-07 15:50:50.583,46657,87.26,26.631863,62.344000,24.314160
34,2026-02-07 15:50:51.924,47998,87.00,26.979409,87.614000,33.293320
35,2026-02-07 15:50:53.274,49349,86.89,27.301795,63.326000,24.063880
36,2026-02-07 15:50:54.621,50696,86.20,26.709297,78.291000,30.533490
37,2026-02-07 15:50:55.965,52039,86.95,26.618771,60.879000,24.351600
38,2026-02-07 15:50:57.351,53425,85.66,29.541029,80.157000,32.062800
39,2026-02-07 15:50:58.700,54775,87.59,26.781421,67.349000,26.266110
40,2026-02-07 15:51:00.051,56125,86.89,26.641566,88.329000,35.331600
41,2026-02-07 15:51:01.402,57476,87.73,27.617361,69.637000,28.551170
42,2026-02-07 15:51:02.756,58830,88.52,30.807596,75.397000,31.666740
43,2026-02-07 15:51:04.118,60192,86.46,27.916891,81.734000,33.510940
44,2026-02-07 15:51:05.477,61552,87.26,30.917224,66.849000,27.408090
45,2026-02-07 15:51:06.840,62914,101.32,30.139432,71.932000,29.492120
46,2026-02-07 15:51:08.203,64278,101.02,27.259104,67.662000,27.741420
47,2026-02-07 15:51:09.559,65633,86.47,28.148417,77.397000,32.506740
48,2026-02-07 15:51:10.965,67040,101.19,33.314469,73.934000,32.530960
49,2026-02-07 15:51:12.392,68467,100.86,32.532787,84.862000,37.339280
50,2026-02-07 15:51:13.762,69836,100.51,29.000805,61.651000,27.126440
51,2026-02-07 15:51:15.116,71190,86.41,27.482709,90.173000,40.577850
52,2026-02-07 15:51:16.467,72541,86.41,28.625839,65.479000,29.465550
53,2026-02-07 15:51:17.814,73888,87.33,29.535125,88.744000,39.934800
54,2026-02-07 15:51:19.160,75234,85.93,30.323078,63.908000,28.758600
55,2026-02-07 15:51:20.515,76589,85.98,27.745422,79.044000,35.569800
56,2026-02-07 15:51:21.874,77948,86.30,28.264804,66.027000,29.051880
57,2026-02-07 15:51:23.228,79302,101.09,27.685519,81.391000,35.812040
58,2026-02-07 15:51:24.599,80674,100.58,29.013224,81.598000,36.719100
59,2026-02-07 15:51:25.940,82015,86.78,28.746148,97.437000,44.821020
60,2026-02-07 15:51:27.288,83363,87.75,29.081031,65.661000,30.204060
61,2026-02-07 15:51:28.635,84709,87.05,28.768638,91.373000,41.117850
62,2026-02-07 15:51:29.986,86060,86.84,27.502210,65.669000,29.551050
63,2026-02-07 15:51:31.321,87396,87.44,28.039642,77.156000,33.948640
64,2026-02-07 15:51:32.656,88731,87.07,28.967557,81.720000,35.956800
65,2026-02-07 15:51:33.988,90062,87.77,27.650960,72.902000,31.347860
66,2026-02-07 15:51:35.316,91390,87.51,27.378544,83.746000,36.010780
67,2026-02-07 15:51:36.661,92735,86.90,30.167050,77.750000,33.432500
68,2026-02-07 15:51:38.017,94091,87.15,33.028473,78.008000,34.323520
69,2026-02-07 15:51:39.374,95448,86.89,29.280254,67.793000,29.828920
70,2026-02-07 15:51:40.754,96828,101.65,39.447606,88.370000,39.766500
71,2026-02-07 15:51:42.117,98191,100.44,35.860832,83.834000,36.886960
72,2026-02-07 15:51:43.464,99538,87.27,33.993237,80.717000,35.515480
73,2026-02-07 15:51:44.814,100888,86.84,32.535182,78.123000,33.592890
74,2026-02-07 15:51:46.165,102239,85.82,30.787165,71.165000,30.600950
