iteration,timestamp,elapsed_ms,cpu_usage_percent,cpu_power_watts,gpu_power_watts,process_gpu_power_watts
1,2026-02-07 15:50:06.862,2627,94.44,72.342222,55.251000,0.000000
2,2026-02-07 15:50:08.255,4020,103.28,38.900058,73.930000,14.046700
3,2026-02-07 15:50:09.659,5424,103.25,38.311968,83.081000,32.401590
4,2026-02-07 15:50:11.076,6840,102.59,34.232193,84.891000,41.596590
5,2026-02-07 15:50:12.479,8244,101.52,33.345993,87.488000,40.244480
6,2026-02-07 15:50:13.885,9650,102.59,33.098569,77.968000,35.085600
7,2026-02-07 15:50:15.248,11013,100.95,26.707374,74.380000,31.239600
8,2026-02-07 15:50:16.595,12360,86.85,25.548224,65.442000,29.448900
9,2026-02-07 15:50:17.957,13722,86.30,26.271225,75.253000,33.863850
10,2026-02-07 15:50:19.318,15082,87.15,27.119691,85.039000,41.669110
11,2026-02-07 15:50:20.680,16445,86.30,29.518951,69.718000,33.464640
12,2026-02-07 15:50:22.029,17794,85.66,26.620709,71.268000,36.346680
13,2026-02-07 15:50:23.387,19152,85.13,26.782764,63.558000,30.507840
14,2026-02-07 15:50:24.748,20513,102.03,32.934469,79.236000,41.202720
15,2026-02-07 15:50:26.098,21862,87.00,27.608664,79.868000,40.732680
16,2026-02-07 15:50:27.443,23208,87.22,26.987557,72.457000,38.402210
17,2026-02-07 15:50:28.793,24558,87.91,27.099154,66.901000,34.119510
18,2026-02-07 15:50:30.160,25925,87.26,28.796225,73.152000,38.770560
19,2026-02-07 15:50:31.512,27276,100.95,27.666568,72.913000,36.456500
20,2026-02-07 15:50:32.874,28638,87.05,28.761284,83.380000,42.523800
21,2026-02-07 15:50:34.237,30002,100.73,27.585823,77.431000,37.941190
22,2026-02-07 15:50:35.596,31360,102.18,27.750594,70.864000,36.140640
23,2026-02-07 15:50:36.975,32740,101.67,34.483263,75.579000,37.033710
24,2026-02-07 15:50:38.340,34105,100.87,32.759140,80.951000,40.475500
25,2026-02-07 15:50:39.702,35467,85.05,36.123849,79.661000,39.830500
26,2026-02-07 15:50:41.063,36827,86.25,28.835743,71.839000,35.201110
27,2026-02-07 15:50:42.423,38188,86.29,29.721592,77.030000,38.515000
28,2026-02-07 15:50:43.792,39557,101.67,29.431659,73.136000,36.568000
29,2026-02-07 15:50:45.141,40905,86.74,30.766827,87.183000,42.719670
30,2026-02-07 15:50:46.509,42274,86.41,31.029965,77.297000,38.648500
31,2026-02-07 15:50:47.858,43623,87.00,30.371064,81.113000,39.745370
32,2026-02-07 15:50:49.207,44972,86.46,26.753972,72.832000,34.959360
33,2026-02-07 15:50:50.556,46321,87.22,26.479145,76.672000,37.569280
34,2026-02-07 15:50:51.899,47664,86.57,26.878019,70.401000,34.496490
35,2026-02-07 15:50:53.250,49015,87.27,27.267694,72.682000,36.341000
36,2026-02-07 15:50:54.605,50370,86.03,26.829316,68.756000,33.690440
37,2026-02-07 15:50:55.952,51717,86.30,26.607571,74.205000,35.618400
38,2026-02-07 15:50:57.334,53099,101.00,29.275158,80.157000,38.475360
39,2026-02-07 15:50:58.683,54448,86.73,26.457281,67.349000,33.001010
40,2026-02-07 15:51:00.036,55801,86.46,26.547623,88.329000,43.281210
41,2026-02-07 15:51:01.388,57153,87.04,27.484739,69.637000,33.425760
42,2026-02-07 15:51:02.751,58516,87.00,30.821771,75.397000,35.436590
43,2026-02-07 15:51:04.103,59867,86.78,27.480039,73.194000,35.133120
44,2026-02-07 15:51:05.462,61227,86.73,30.875540,85.725000,42.005250
45,2026-02-07 15:51:06.821,62586,87.33,30.164074,71.932000,35.246680
46,2026-02-07 15:51:08.178,63943,86.73,27.158263,67.662000,33.154380
47,2026-02-07 15:51:09.531,65296,87.11,28.082654,77.397000,37.150560
48,2026-02-07 15:51:10.946,66710,86.85,33.506095,73.934000,34.009640
49,2026-02-07 15:51:12.378,68142,101.96,31.792027,84.862000,39.036520
50,2026-02-07 15:51:13.743,69508,100.22,28.830800,71.988000,33.114480
51,2026-02-07 15:51:15.095,70859,86.30,27.515453,71.040000,32.678400
52,2026-02-07 15:51:16.443,72207,87.48,28.362776,82.502000,37.950920
53,2026-02-07 15:51:17.789,73554,86.68,29.435077,74.587000,34.310020
54,2026-02-07 15:51:19.143,74907,101.24,30.339420,77.855000,35.034750
55,2026-02-07 15:51:20.499,76264,87.26,27.749419,70.437000,32.401020
56,2026-02-07 15:51:21.859,77624,86.03,28.281191,84.113000,39.533110
57,2026-02-07 15:51:23.212,78976,85.71,27.657505,81.391000,38.253770
58,2026-02-07 15:51:24.559,80324,85.50,28.765404,68.000000,31.960000
59,2026-02-07 15:51:25.894,81658,87.49,28.555286,85.440000,39.302400
60,2026-02-07 15:51:27.233,82998,87.71,28.895616,79.609000,35.824050
61,2026-02-07 15:51:28.569,84334,86.52,28.391155,80.908000,37.217680
62,2026-02-07 15:51:29.911,85676,87.66,27.351811,81.855000,38.471850
63,2026-02-07 15:51:31.249,87014,86.57,27.806972,65.648000,30.854560
64,2026-02-07 15:51:32.580,88345,87.88,28.876360,72.710000,34.900800
65,2026-02-07 15:51:33.911,89676,87.45,27.517818,88.617000,43.422330
66,2026-02-07 15:51:35.240,91005,87.23,27.278436,76.479000,38.239500
67,2026-02-07 15:51:36.580,92344,87.71,30.292760,68.511000,34.255500
68,2026-02-07 15:51:37.935,93700,87.16,32.579111,72.984000,35.762160
69,2026-02-07 15:51:39.299,95064,86.77,29.144458,87.063000,41.790240
70,2026-02-07 15:51:40.666,96431,101.75,38.615328,74.454000,35.737920
71,2026-02-07 15:51:42.008,97773,100.95,35.931507,84.925000,41.613250
72,2026-02-07 15:51:43.356,99121,86.36,34.044306,70.910000,34.745900
73,2026-02-07 15:51:44.699,100464,86.90,31.713112,74.282000,37.141000
74,2026-02-07 15:51:46.048,101813,87.37,30.726652,64.341000,32.813910
75,2026-02-07 15:51:47.382,103147,87.82,30.652895,74.568000,38.029680
76,2026-02-07 15:51:48.723,104488,87.55,28.391446,87.293000,45.392360
77,2026-02-07 15:51:50.061,105826,86.52,28.469201,73.701000,37.587510
78,2026-02-07 15:51:51.404,107169,87.49,28.578784,83.770000,42.722700
79,2026-02-07 15:51:52.740,108505,87.33,28.198249,69.883000,34.941500
80,2026-02-07 15:51:54.085,109850,86.14,28.091092,86.644000,42.455560
81,2026-02-07 15:51:55.430,111195,86.68,28.480446,85.116000,41.706840
82,2026-02-07 15:51:56.809,112574,101.22,30.117506,85.472000,41.881280
83,2026-02-07 15:51:58.150,113915,86.79,29.593929,71.831000,35.915500
84,2026-02-07 15:51:59.495,115260,87.05,28.518102,75.766000,37.883000
85,2026-02-07 15:52:00.853,116617,87.91,32.657170,83.719000,42.696690
86,2026-02-07 15:52:02.220,117984,100.58,38.641724,90.829000,46.322790
87,2026-02-07 15:52:03.580,119344,86.30,33.256139,77.472000,38.736000
88,2026-02-07 15:52:04.973,120738,99.86,34.541778,74.192000,37.096000
89,2026-02-07 15:52:06.328,122093,86.14,36.400431,88.532000,44.266000
90,2026-02-07 15:52:07.691,123456,86.77,34.267682,81.432000,41.530320
91,2026-02-07 15:52:09.047,124812,88.00,36.464468,75.127000,38.314770
92,2026-02-07 15:52:10.425,126190,101.52,35.050098,89.021000,44.510500
93,2026-02-07 15:52:11.807,127572,86.39,35.969682,84.299000,42.149500
94,2026-02-07 15:52:13.173,128938,87.93,36.340146,80.573000,41.092230
95,2026-02-07 15:52:14.516,130281,87.77,30.098190,89.769000,45.782190
96,2026-02-07 15:52:15.858,131623,87.00,29.302455,75.220000,38.362200
97,2026-02-07 15:52:17.206,132971,87.75,31.751654,80.446000,40.223000
98,2026-02-07 15:52:18.553,134317,87.44,29.958458,75.061000,37.530500
99,2026-02-07 15:52:19.905,135670,87.31,29.959999,87.103000,44.422530
100,2026-02-07 15:52:21.249,137014,87.75,30.567465,78.753000,40.164030
101,2026-02-07 15:52:22.592,138357,86.35,30.015064,90.536000,47.078720
102,2026-02-07 15:52:24.039,139804,87.26,30.043903,83.345000,42.505950
103,2026-02-07 15:52:25.341,141106,0.00,13.975428,36.342000,18.534420
104,2026-02-07 15:52:26.648,142413,0.00,13.713006,25.607000,13.059570
105,2026-02-07 15:52:27.966,143731,0.00,13.338742,65.575000,33.443250
